Size (sqft),Number of Bedrooms,Number of floors,Age of  Home,Price (1000s dollars
952.0000,2.0000,1.0000,65.0000,271.5000
1244.0000,3.0000,1.0000,64.0000,300.0000
1947.0000,3.0000,2.0000,17.0000,509.8000
1725.0000,3.0000,2.0000,42.0000,394.0000
1959.0000,3.0000,2.0000,15.0000,540.0000
1314.0000,2.0000,1.0000,14.0000,415.0000
864.0000,2.0000,1.0000,66.0000,230.0000
1836.0000,3.0000,1.0000,17.0000,560.0000
1026.0000,3.0000,1.0000,43.0000,294.0000
3194.0000,4.0000,2.0000,87.0000,718.2000
788.0000,2.0000,1.0000,80.0000,200.0000
1200.0000,2.0000,2.0000,17.0000,302.0000
1557.0000,2.0000,1.0000,18.0000,468.0000
1430.0000,3.0000,1.0000,20.0000,374.2000
1220.0000,2.0000,1.0000,15.0000,388.0000
1092.0000,2.0000,1.0000,64.0000,282.0000
848.0000,1.0000,1.0000,17.0000,311.8000
1682.0000,3.0000,2.0000,23.0000,401.0000
1768.0000,3.0000,2.0000,18.0000,449.8000
1040.0000,3.0000,1.0000,44.0000,301.0000
1652.0000,2.0000,1.0000,21.0000,502.0000
1088.0000,2.0000,1.0000,35.0000,340.0000
1316.0000,3.0000,1.0000,14.0000,400.2820
1593.0000,0.0000,1.0000,20.0000,572.0000
972.0000,2.0000,1.0000,73.0000,264.0000
1097.0000,3.0000,1.0000,37.0000,304.0000
1004.0000,2.0000,1.0000,51.0000,298.0000
904.0000,3.0000,1.0000,55.0000,219.8000
1694.0000,3.0000,1.0000,13.0000,490.7000
1073.0000,2.0000,1.0000,100.0000,216.9600
1419.0000,3.0000,2.0000,19.0000,368.2000
1164.0000,3.0000,1.0000,52.0000,280.0000
1935.0000,3.0000,2.0000,12.0000,526.8700
1216.0000,2.0000,2.0000,74.0000,237.0000
2482.0000,4.0000,2.0000,16.0000,562.4260
1200.0000,2.0000,1.0000,18.0000,369.8000
1840.0000,3.0000,2.0000,20.0000,460.0000
1851.0000,3.0000,2.0000,57.0000,374.0000
1660.0000,3.0000,2.0000,19.0000,390.0000
1096.0000,2.0000,2.0000,97.0000,158.0000
1775.0000,3.0000,2.0000,28.0000,426.0000
2030.0000,4.0000,2.0000,45.0000,390.0000
1784.0000,4.0000,2.0000,107.0000,277.7740
1073.0000,2.0000,1.0000,100.0000,216.9600
1552.0000,3.0000,1.0000,16.0000,425.8000
1953.0000,3.0000,2.0000,16.0000,504.0000
1224.0000,2.0000,2.0000,12.0000,329.0000
1616.0000,3.0000,1.0000,16.0000,464.0000
816.0000,2.0000,1.0000,58.0000,220.0000
1349.0000,3.0000,1.0000,21.0000,358.0000
1571.0000,3.0000,1.0000,14.0000,478.0000
1486.0000,3.0000,1.0000,57.0000,334.0000
1506.0000,2.0000,1.0000,16.0000,426.9800
1097.0000,3.0000,1.0000,27.0000,290.0000
1764.0000,3.0000,2.0000,24.0000,463.0000
1208.0000,2.0000,1.0000,14.0000,390.8000
1470.0000,3.0000,2.0000,24.0000,354.0000
1768.0000,3.0000,2.0000,84.0000,350.0000
1654.0000,3.0000,1.0000,19.0000,460.0000
1029.0000,3.0000,1.0000,60.0000,237.0000
1120.0000,2.0000,2.0000,16.0000,288.3040
1150.0000,3.0000,1.0000,62.0000,282.0000
816.0000,2.0000,1.0000,39.0000,249.0000
1040.0000,3.0000,1.0000,25.0000,304.0000
1392.0000,3.0000,1.0000,64.0000,332.0000
1603.0000,3.0000,2.0000,29.0000,351.8000
1215.0000,3.0000,1.0000,63.0000,310.0000
1073.0000,2.0000,1.0000,100.0000,216.9600
2599.0000,4.0000,2.0000,22.0000,666.3360
1431.0000,3.0000,1.0000,59.0000,330.0000
2090.0000,3.0000,2.0000,26.0000,480.0000
1790.0000,4.0000,2.0000,49.0000,330.3000
1484.0000,3.0000,2.0000,16.0000,348.0000
1040.0000,3.0000,1.0000,25.0000,304.0000
1431.0000,3.0000,1.0000,22.0000,384.0000
1159.0000,3.0000,1.0000,53.0000,316.0000
1547.0000,3.0000,2.0000,12.0000,430.4000
1983.0000,3.0000,2.0000,22.0000,450.0000
1056.0000,3.0000,1.0000,53.0000,284.0000
1180.0000,2.0000,1.0000,99.0000,275.0000
1358.0000,2.0000,1.0000,17.0000,414.0000
960.0000,3.0000,1.0000,51.0000,258.0000
1456.0000,3.0000,2.0000,16.0000,378.0000
1446.0000,3.0000,2.0000,25.0000,350.0000
1208.0000,2.0000,1.0000,15.0000,412.0000
1553.0000,3.0000,2.0000,16.0000,373.0000
882.0000,3.0000,1.0000,49.0000,225.0000
2030.0000,4.0000,2.0000,45.0000,390.0000
1040.0000,3.0000,1.0000,62.0000,267.4000
1616.0000,3.0000,1.0000,16.0000,464.0000
803.0000,2.0000,1.0000,80.0000,174.0000
1430.0000,3.0000,2.0000,21.0000,340.0000
1656.0000,3.0000,1.0000,61.0000,430.0000
1541.0000,3.0000,1.0000,16.0000,440.0000
948.0000,3.0000,1.0000,53.0000,216.0000
1224.0000,2.0000,2.0000,12.0000,329.0000
1432.0000,2.0000,1.0000,43.0000,388.0000
1660.0000,3.0000,2.0000,19.0000,390.0000
1212.0000,3.0000,1.0000,20.0000,356.0000
1050.0000,2.0000,1.0000,65.0000,257.8000
